"","volume","p.metal"
"176",4.9047112486901,3.76
"177",4.90688239797153,3.77
"178",4.90900442768857,3.78
"179",4.91107845168763,3.79
"180",4.91310555886793,3.8
"181",4.91508681373628,3.81
"182",4.91702325694974,3.82
"183",4.91891590584676,3.83
"184",4.92076575496681,3.84
"185",4.92257377655882,3.85
"186",4.92434092107861,3.86
"187",4.92606811767565,3.87
"188",4.92775627466924,3.88
"189",4.92940628001437,3.89
"190",4.93101900175751,3.9
"191",4.93259528848252,3.91
"192",4.9341359697469,3.92
"193",4.93564185650848,3.93
"194",4.93711374154296,3.94
"195",4.93855239985224,3.95
"196",4.939958589064,3.96
"197",4.94133304982243,3.97
"198",4.94267650617058,3.98
"199",4.94398966592426,3.99
"200",4.94527322103788,4
"201",4.9465278479622,4.01
"202",4.94775420799441,4.02
"203",4.94895294762038,4.03
"204",4.95012469884962,4.04
"205",4.95127007954276,4.05
"206",4.95238969373196,4.06
"207",4.95348413193428,4.07
"208",4.9545539714582,4.08
"209",4.95559977670343,4.09
"210",4.95662209945413,4.1
"211",4.9576214791658,4.11
"212",4.95859844324574,4.12
"213",4.95955350732753,4.13
"214",4.9604871755394,4.14
"215",4.96139994076673,4.15
"216",4.96229228490884,4.16
"217",4.96316467913018,4.17
"218",4.96401758410593,4.18
"219",4.9648514502623,4.19
"220",4.96566671801158,4.2
"221",4.96646381798199,4.21
"222",4.9672431712426,4.22
"223",4.96800518952319,4.23
"224",4.96875027542949,4.24
"225",4.96947882265357,4.25
"226",4.97019121617973,4.26
"227",4.97088783248585,4.27
"228",4.97156903974039,4.28
"229",4.97223519799506,4.29
"230",4.9728866593734,4.3
"231",4.97352376825508,4.31
"232",4.97414686145642,4.32
"233",4.97475626840679,4.33
"234",4.97535231132135,4.34
"235",4.97593530536995,4.35
"236",4.97650555884245,4.36
"237",4.97706337331039,4.37
"238",4.97760904378529,4.38
"239",4.97814285887342,4.39
"240",4.97866510092737,4.4
"241",4.97917604619426,4.41
"242",4.97967596496086,4.42
"243",4.98016512169556,4.43
"244",4.98064377518735,4.44
"245",4.98111217868184,4.45
"246",4.98157058001434,4.46
"247",4.98201922174022,4.47
"248",4.98245834126243,4.48
"249",4.98288817095641,4.49
"250",4.98330893829229,4.5
"251",4.98372086595464,4.51
"252",4.98412417195963,4.52
"253",4.9845190697698,4.53
"254",4.98490576840648,4.54
"255",4.98528447255978,4.55
"256",4.98565538269649,4.56
"257",4.98601869516558,4.57
"258",4.98637460230173,4.58
"259",4.98672329252661,4.59
"260",4.98706495044823,4.6
"261",4.98739975695821,4.61
"262",4.98772788932716,4.62
"263",4.98804952129814,4.63
"264",4.98836482317826,4.64
"265",4.98867396192855,4.65
"266",4.98897710125197,4.66
"267",4.98927440167979,4.67
"268",4.98956602065631,4.68
"269",4.98985211262192,4.69
"270",4.9901328290946,4.7
"271",4.99040831874989,4.71
"272",4.9906787274994,4.72
"273",4.99094419856783,4.73
"274",4.99120487256855,4.74
"275",4.99146088757794,4.75
"276",4.99171237920823,4.76
"277",4.99195948067915,4.77
"278",4.99220232288833,4.78
"279",4.99244103448042,4.79
"280",4.99267574191507,4.8
"281",4.99290656953376,4.81
"282",4.99313363962547,4.82
"283",4.99335707249138,4.83
"284",4.99357698650836,4.84
"285",4.99379349819165,4.85
"286",4.99400672225637,4.86
"287",4.99421677167819,4.87
"288",4.99442375775312,4.88
"289",4.99462779015628,4.89
"290",4.99482897699995,4.9
"291",4.99502742489074,4.91
"292",4.99522323898595,4.92
"293",4.99541652304924,4.93
"294",4.99560737950548,4.94
"295",4.99579590949494,4.95
"296",4.99598221292684,4.96
"297",4.99616638853216,4.97
"298",4.99634853391592,4.98
"299",4.99652874560881,4.99
"300",4.99670711911831,5
"301",4.99688374897917,5.01
"302",4.99705872880353,5.02
"303",4.99723215133042,5.03
"304",4.99740410847483,5.04
"305",4.99757469137645,5.05
"306",4.99774399044785,5.06
"307",4.99791209542235,5.07
"308",4.99807909540158,5.08
"309",4.99824507890261,5.09
"310",4.99841013390487,5.1
"311",4.99857434789668,5.11
"312",4.99873780792164,5.12
"313",4.99890060062469,5.13
"314",4.99906281229803,5.14
"315",4.99922452892679,5.15
"316",4.99938583623462,5.16
"317",4.99954681972904,5.17
"318",4.99970756474679,5.18
"319",4.99986815649902,5.19
"320",5.00002868011641,5.2
"321",5.0001892206943,5.21
"322",5.00034986333774,5.22
"323",5.00051069320663,5.23
"324",5.00067179556079,5.24
"325",5.00083325580519,5.25
"326",5.00099515953512,5.26
"327",5.00115759258165,5.27
"328",5.00132064105704,5.28
"329",5.00148439140039,5.29
"330",5.00164893042346,5.3
"331",5.00181434535666,5.31
"332",5.00198072389528,5.32
"333",5.00214815424598,5.33
"334",5.00231672517353,5.34
"335",5.00248652604786,5.35
"336",5.00265764689141,5.36
"337",5.00283017842685,5.37
"338",5.0030042121252,5.38
"339",5.00317984025425,5.39
"340",5.00335715592752,5.4
"341",5.0035362531536,5.41
"342",5.00371722688595,5.42
"343",5.0039001730733,5.43
"344",5.00408518871044,5.44
"345",5.00427237188967,5.45
"346",5.00446182185281,5.46
"347",5.00465363904377,5.47
"348",5.00484792516183,5.48
"349",5.00504478321555,5.49
"350",5.00524431757735,5.5
"351",5.00544663403886,5.51
"352",5.00565183986703,5.52
"353",5.00586004386093,5.53
"354",5.00607135640948,5.54
"355",5.00628588954996,5.55
"356",5.00650375702742,5.56
"357",5.00672507435494,5.57
"358",5.00694995887492,5.58
"359",5.00717852982124,5.59
"360",5.00741090838253,5.6
"361",5.00764721776638,5.61
"362",5.00788758326465,5.62
"363",5.00813213231996,5.63
"364",5.00838099459317,5.64
"365",5.0086343020322,5.65
"366",5.00889218894194,5.66
"367",5.00915479205547,5.67
"368",5.00942225060654,5.68
"369",5.00969470640342,5.69
"370",5.00997230390407,5.7
"371",5.0102551902927,5.71
"372",5.01054351555787,5.72
"373",5.01083743257195,5.73
"374",5.01113709717219,5.74
"375",5.01144266824337,5.75
"376",5.01175430780201,5.76
"377",5.01207218108229,5.77
"378",5.01239645662363,5.78
"379",5.0127273063601,5.79
"380",5.0130649057115,5.8
"381",5.01340943367645,5.81
"382",5.01376107292725,5.82
"383",5.01412000990674,5.83
"384",5.01448643492716,5.84
"385",5.01486054227103,5.85
"386",5.01524253029421,5.86
"387",5.015632601531,5.87
"388",5.0160309628016,5.88
"389",5.01643782532171,5.89
"390",5.01685340481454,5.9
"391",5.01727792162517,5.91
