"","volume","p.metal"
"219",9.27740603928028,3.91
"220",9.27907188261403,3.92
"221",9.28070025657393,3.93
"222",9.28229201843192,3.94
"223",9.28384800632226,3.95
"224",9.28536903967354,3.96
"225",9.28685591963147,3.97
"226",9.28830942947238,3.98
"227",9.2897303350078,3.99
"228",9.29111938498025,4
"229",9.29247731145045,4.01
"230",9.29380483017611,4.02
"231",9.29510264098249,4.03
"232",9.29637142812493,4.04
"233",9.29761186064352,4.05
"234",9.29882459271,4.06
"235",9.30001026396724,4.07
"236",9.30116949986121,4.08
"237",9.30230291196588,4.09
"238",9.30341109830096,4.1
"239",9.3044946436428,4.11
"240",9.30555411982855,4.12
"241",9.30659008605368,4.13
"242",9.30760308916311,4.14
"243",9.30859366393597,4.15
"244",9.30956233336424,4.16
"245",9.31050960892536,4.17
"246",9.31143599084892,4.18
"247",9.3123419683776,4.19
"248",9.31322802002247,4.2
"249",9.31409461381281,4.21
"250",9.31494220754053,4.22
"251",9.31577124899929,4.23
"252",9.31658217621857,4.24
"253",9.31737541769263,4.25
"254",9.31815139260461,4.26
"255",9.3189105110458,4.27
"256",9.31965317423026,4.28
"257",9.32037977470483,4.29
"258",9.32109069655467,4.3
"259",9.32178631560445,4.31
"260",9.32246699961525,4.32
"261",9.3231331084773,4.33
"262",9.32378499439862,4.34
"263",9.32442300208976,4.35
"264",9.32504746894458,4.36
"265",9.32565872521723,4.37
"266",9.32625709419553,4.38
"267",9.32684289237063,4.39
"268",9.32741642960318,4.4
"269",9.32797800928609,4.41
"270",9.32852792850387,4.42
"271",9.32906647818875,4.43
"272",9.32959394327356,4.44
"273",9.33011060284152,4.45
"274",9.33061673027295,4.46
"275",9.33111259338908,4.47
"276",9.33159845459287,4.48
"277",9.3320745710071,4.49
"278",9.33254119460962,4.5
"279",9.33299857236603,4.51
"280",9.33344694635963,4.52
"281",9.33388655391891,4.53
"282",9.33431762774251,4.54
"283",9.33474039602177,4.55
"284",9.33515508256096,4.56
"285",9.33556190689519,4.57
"286",9.3359610844061,4.58
"287",9.33635282643533,4.59
"288",9.33673734039602,4.6
"289",9.33711482988206,4.61
"290",9.3374854947755,4.62
"291",9.33784953135197,4.63
"292",9.33820713238415,4.64
"293",9.33855848724355,4.65
"294",9.33890378200031,4.66
"295",9.33924319952151,4.67
"296",9.33957691956758,4.68
"297",9.33990511888721,4.69
"298",9.34022797131069,4.7
"299",9.34054564784163,4.71
"300",9.34085831674728,4.72
"301",9.3411661436474,4.73
"302",9.34146929160169,4.74
"303",9.34176792119598,4.75
"304",9.34206219062701,4.76
"305",9.34235225578604,4.77
"306",9.34263827034121,4.78
"307",9.34292038581874,4.79
"308",9.34319875168301,4.8
"309",9.3434735154156,4.81
"310",9.34374482259319,4.82
"311",9.34401281696456,4.83
"312",9.34427764052657,4.84
"313",9.34453943359927,4.85
"314",9.34479833490006,4.86
"315",9.34505448161711,4.87
"316",9.34530800948186,4.88
"317",9.34555905284085,4.89
"318",9.34580774472678,4.9
"319",9.3460542169289,4.91
"320",9.3462986000627,4.92
"321",9.34654102363906,4.93
"322",9.34678161613279,4.94
"323",9.34702050505056,4.95
"324",9.34725781699846,4.96
"325",9.34749367774894,4.97
"326",9.34772821230742,4.98
"327",9.34796154497846,4.99
"328",9.34819379943155,5
"329",9.34842509876659,5.01
"330",9.34865556557908,5.02
"331",9.348885322025,5.03
"332",9.34911448988552,5.04
"333",9.34934319063147,5.05
"334",9.34957154548768,5.06
"335",9.34979967549718,5.07
"336",9.35002770158528,5.08
"337",9.35025574462366,5.09
"338",9.35048392549437,5.1
"339",9.35071236515386,5.11
"340",9.35094118469706,5.12
"341",9.35117050542151,5.13
"342",9.35140044889165,5.14
"343",9.35163113700322,5.15
"344",9.35186269204779,5.16
"345",9.35209523677764,5.17
"346",9.35232889447071,5.18
"347",9.352563788996,5.19
"348",9.35280004487913,5.2
"349",9.35303778736841,5.21
"350",9.35327714250112,5.22
"351",9.35351823717038,5.23
"352",9.35376119919233,5.24
"353",9.35400615737395,5.25
"354",9.35425324158121,5.26
"355",9.35450258280801,5.27
"356",9.35475431324554,5.28
